code_va,local_code,locality
1-3.9,1-3,spotsylvania_county
1-13.3 et seq.,1-2,spotsylvania_county
2.1-116.1,16-147,spotsylvania_county
2.1-116.1 et seq.,16-147,spotsylvania_county
2.1-340 et seq.,2-107(b),spotsylvania_county
2.1-344,2-44(6),spotsylvania_county
2.1-639.1 et seq.,23-3.6.2,spotsylvania_county
2.2-4025 et seq.,19A-33,spotsylvania_county
,19A-70,spotsylvania_county
3.1-22.28,13A-26,spotsylvania_county
3.1-501 et seq.,11.1-2,spotsylvania_county
3.1-796.93:1,4-11(h),spotsylvania_county
3.2-300 et seq.,4-16,spotsylvania_county
3.2-3800,21-27,spotsylvania_county
3.2-6500—3.2-6509,Ch. 4,spotsylvania_county
3.2-6500,4-1,spotsylvania_county
3.2-6504,4-13,spotsylvania_county
3.2-6522,4-62,spotsylvania_county
,4-64—4-68,spotsylvania_county
3.2-6524,4-40,spotsylvania_county
3.2-6525,"Ch. 4, Art. V",spotsylvania_county
3.2-6526,4-45,spotsylvania_county
3.2-6527,4-41,spotsylvania_county
,4-45,spotsylvania_county
3.2-6528,4-42,spotsylvania_county
3.2-6529,4-45,spotsylvania_county
3.2-6530,"4-42, 4-43",spotsylvania_county
,4-45,spotsylvania_county
,4-52,spotsylvania_county
3.2-6531,4-46,spotsylvania_county
3.2-6532,4-48,spotsylvania_county
3.2-6533,4-46,spotsylvania_county
3.2-6534,4-21,spotsylvania_county
3.2-6536,4-44,spotsylvania_county
3.2-6538,4-10,spotsylvania_county
,4-21,spotsylvania_county
3.2-6540,"4-31, 4-32",spotsylvania_county
,Ch. 13,spotsylvania_county
3.2-6543,Ch. 4,spotsylvania_county
,4-10,spotsylvania_county
,4-40,spotsylvania_county
3.2-6546,4-4,spotsylvania_county
,4-10,spotsylvania_county
3.2-6552,4-23,spotsylvania_county
3.2-6553,4-24,spotsylvania_county
3.2-6554,4-25,spotsylvania_county
3.2-6562,4-33,spotsylvania_county
3.2-6585,4-15,spotsylvania_county
3.2-6587,4-44,spotsylvania_county
,4-47,spotsylvania_county
,4-49,spotsylvania_county
4.1-100,21-27,spotsylvania_county
,21-251,spotsylvania_county
4-97,14-1,spotsylvania_county
5-585.10 et seq.,23-2.1.4,spotsylvania_county
8.01-66.2,9-41,spotsylvania_county
9.1-400,21-131,spotsylvania_county
9.1-402,21-131,spotsylvania_county
10-62,9-2,spotsylvania_county
"Tit. 10.1, Ch. 6, Art. 2",8-4,spotsylvania_county
"Tit. 10.1, Ch. 17",17A-22,spotsylvania_county
"Tit. 10.1, Ch. 21",20-1.1.2,spotsylvania_county
10.1-560,"6A-4,",spotsylvania_county
,6A-17,spotsylvania_county
10.1-603.1 et seq.,6A-4,spotsylvania_county
,6A-17,spotsylvania_county
10.1-604,23-7.2A.2,spotsylvania_county
10.1-605,23-7.2A.2,spotsylvania_county
10.1-606,23-7.2A.2,spotsylvania_county
10.1-606.2,23-7.2A.1,spotsylvania_county
10.1-606.3,23-7.2A.1,spotsylvania_county
10.1-1100 et seq.,8-4,spotsylvania_county
10.1-1105,6A-4,spotsylvania_county
10.1-1135,9-1,spotsylvania_county
10.1-1163B,8-4,spotsylvania_county
10.1-1400 et seq.,Ch. 19,spotsylvania_county
10.1-1424,"12-17, 12-18",spotsylvania_county
10.1-1700 et seq.,17A-10,spotsylvania_county
,17A-32,spotsylvania_county
,"Ch. 17A, Exh. 1",spotsylvania_county
10.1-2100 et seq.,6A-3,spotsylvania_county
,19A-5,spotsylvania_county
10.1-2107,6A-4,spotsylvania_county
11-14,3-85(c),spotsylvania_county
11-35 et seq.,"Ch. 2, Art. III",spotsylvania_county
14.1-5,16-85,spotsylvania_county
14.1-7,16-85,spotsylvania_county
14.1-45 et seq.,2-2,spotsylvania_county
"Tit. 15.1, Ch. 11",20.1.1.2,spotsylvania_county
,23-1.1.2,spotsylvania_county
15.1-7.1,Ch. 16,spotsylvania_county
,"Ch. 16, Art. VI",spotsylvania_county
15.1-7.2,"Ch. 16, Art. VI",spotsylvania_county
15.1-11,14-9,spotsylvania_county
,19-5,spotsylvania_county
15.1-11.2,5-4,spotsylvania_county
15.1-11.4,"Ch. 5, Art. III",spotsylvania_county
,5-92,spotsylvania_county
,5-95,spotsylvania_county
,5-96(b)(1),spotsylvania_county
15.1-16.2,2-11,spotsylvania_county
,12-22,spotsylvania_county
15.1-19.3,"16-88, 16-89",spotsylvania_county
15.1-23.1,Ch. 6,spotsylvania_county
,6-32,spotsylvania_county
15.1-28,23-3,spotsylvania_county
