locality,version
accomack_county,"JAN 12, 2022 (CURRENT)"
albemarle_county,"MAR 22, 2022 (CURRENT)"
alexandria,
alleghany_county,"FEB 21, 2022 (CURRENT)"
altavista,"NOV 15, 2021 (CURRENT)"
amherst,"JUL 24, 2020 (CURRENT)"
amherst_county,"FEB 17, 2022 (CURRENT)"
ashland,
bedford,"JUL 13, 2021 (CURRENT)"
bedford_county,"AUG 24, 2020 (CURRENT)"
berryville,"APR 30, 2020 (CURRENT)"
big_stone_gap,"AUG 21, 2018 (CURRENT)"
blacksburg,"FEB 22, 2022 (CURRENT)"
blackstone,"MAY 12, 2020 (CURRENT)"
bland_county,
bluefield,"DEC 31, 2020 (CURRENT)"
botetourt_county,"JAN 31, 2022 (CURRENT)"
bristol,"JAN 31, 2022 (CURRENT)"
brunswick_county,"DEC 27, 2021 (CURRENT)"
buena_vista,"JUL 30, 2021 (CURRENT)"
cape_charles,"JUN 10, 2021 (CURRENT)"
charles_city_county,"AUG 30, 2011 (CURRENT)"
charlottesville,"DEC 29, 2021 (CURRENT)"
chase_city,"FEB 23, 2022 (CURRENT)"
chatham,"JUL 26, 2021 (CURRENT)"
chesapeake,
chesterfield_county,"NOV 22, 2021 (CURRENT)"
christiansburg,"MAR 5, 2020 (CURRENT)"
clifton_forge,"OCT 30, 2019 (CURRENT)"
colonial_beach,"SEP 28, 2021 (CURRENT)"
covington,"JAN 12, 2022 (CURRENT)"
craig_county,"JAN 22, 2019 (CURRENT)"
crewe,"FEB 26, 2021 (CURRENT)"
culpeper,
culpeper_county,"SEP 30, 2021 (CURRENT)"
cumberland_county,"JUN 25, 2021 (CURRENT)"
damascus,"MAR 28, 2003 (CURRENT)"
danville,
dayton,"NOV 30, 2021 (CURRENT)"
dinwiddie_county,"OCT 30, 2021 (CURRENT)"
dumfries,"JAN 8, 2020 (CURRENT)"
emporia,"JAN 20, 2022 (CURRENT)"
essex_county,"MAR 26, 2020 (CURRENT)"
fairfax,"SEP 15, 2021 (CURRENT)"
fairfax_county,"FEB 22, 2022 (CURRENT)"
falls_church,"JAN 19, 2022 (CURRENT)"
farmville,"SEP 27, 2021 (CURRENT)"
fauquier_county,
floyd_county,"JUL 30, 2003 (CURRENT)"
fluvanna_county,"JUN 21, 2019 (CURRENT)"
franklin_county,"JUL 19, 2021 (CURRENT)"
gate_city,
glade_spring,"NOV 11, 2021 (CURRENT)"
gloucester_county,"MAR 16, 2022 (CURRENT)"
goochland_county,"JAN 20, 2022 (CURRENT)"
gordonsville,"MAR 12, 2021 (CURRENT)"
greene_county,"JAN 18, 2022 (CURRENT)"
greensville_county,"DEC 31, 2020 (CURRENT)"
halifax_county,"MAR 29, 2021 (CURRENT)"
hamilton,"JUN 12, 2020 (CURRENT)"
hampton,
hanover_county,"MAR 21, 2022 (CURRENT)"
harrisonburg,"MAR 9, 2022 (CURRENT)"
haymarket,"NOV 11, 2019 (CURRENT)"
henrico_county,"JAN 28, 2022 (CURRENT)"
henry_county,
herndon,"DEC 13, 2021 (CURRENT)"
hopewell,
isle_of_wight_county,"JAN 21, 2022 (CURRENT)"
james_city_county,"JAN 19, 2022 (CURRENT)"
