CodeSection,fips,total,black_percent,hispanic_percent,Black (Non-Hispanic),White (Non-Hispanic),Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,MISSING,Other
ZONING: 1001(A),810,1,0,0,0,1,0,0,0,0,0
ZONING CHAP 25,711,2,0,0,0,2,0,0,0,0,0
ZONING 33-3,730,2,0,0,0,0,0,0,0,0,2
ZONING 212(C),810,1,0,0,0,1,0,0,0,0,0
ZON. ORID. 1960,650,1,0,0,0,1,0,0,0,0,0
Z18.2-91,13,1,0,0,0,1,0,0,0,0,0
Z.46.2-391,680,1,0,0,0,1,0,0,0,0,0
Z.18.2-94,13,2,100,0,2,0,0,0,0,0,0
Z.18.2-92,680,4,0,0,0,4,0,0,0,0,0
Z.18.2-91,23,198,30.3,2.02,60,130,4,0,0,0,4
Z.18.2-90,740,13,53.85,7.69,7,5,1,0,0,0,0
Z.18.2-89,740,30,56.67,0,17,13,0,0,0,0,0
Z.18.2-70,13,1,100,0,1,0,0,0,0,0,0
Z.18.2-58.1,710,1,100,0,1,0,0,0,0,0,0
Z.18.2-58,73,2,50,0,1,1,0,0,0,0,0
Z.18.2-53.1,770,1,100,0,1,0,0,0,0,0,0
Z.18.2-48,740,1,100,0,1,0,0,0,0,0,0
Z.18.2-47,740,39,61.54,0,24,15,0,0,0,0,0
Z.18.2-32,740,33,66.67,3.03,22,10,1,0,0,0,0
Z.18.2-31,710,8,100,0,8,0,0,0,0,0,0
Z.18.2-147.1,550,1,0,0,0,1,0,0,0,0,0
Z.18.2-102,690,1,0,0,0,1,0,0,0,0,0
YVAC-15-320-25,169,1,0,0,0,1,0,0,0,0,0
Y9-8,711,1,100,0,1,0,0,0,0,0,0
X.18.2-266,640,1,0,100,0,0,1,0,0,0,0
X,145,1,0,0,0,1,0,0,0,0,0
WVAC20-262-30,93,1,0,0,0,1,0,0,0,0,0
WP10-5,101,2,0,0,0,2,0,0,0,0,0
WP 14-101,101,1,0,0,0,1,0,0,0,0,0
WP 10-5,101,1,0,0,0,1,0,0,0,0,0
WISE CO.4-51,195,1,100,0,1,0,0,0,0,0,0
WISE CO 4-51,195,6,100,0,6,0,0,0,0,0,0
WISE CO 4-21,195,3,100,0,3,0,0,0,0,0,0
WCO #02-07,195,1,0,0,0,1,0,0,0,0,0
WC/ORD. 1-1975,195,6,0,0,0,6,0,0,0,0,0
W-200,711,1,100,0,1,0,0,0,0,0,0
VVAC15-90-231,83,1,100,0,1,0,0,0,0,0,0
VUSBC-105.1,711,1,0,0,0,1,0,0,0,0,0
VUC504.1,711,1,0,0,0,1,0,0,0,0,0
VSFPC901.6,153,1,0,0,0,1,0,0,0,0,0
VSFPC3301.1.3,107,1,0,0,0,1,0,0,0,0,0
VSFPC1908.6,153,1,0,100,0,0,1,0,0,0,0
VSFPC1908.4,153,1,0,100,0,0,1,0,0,0,0
VSFPC1030.2,153,1,0,0,0,1,0,0,0,0,0
VSFPC1011.1,153,1,100,0,1,0,0,0,0,0,0
VSFPC 5003.3,165,3,0,33.33,0,1,1,0,0,0,1
VSFC 1001.3,153,1,0,0,0,1,0,0,0,0,0
VR325-04-1-1,67,1,0,0,0,1,0,0,0,0,0
VPMC 505.1,5,2,100,0,2,0,0,0,0,0,0
VNC 305.3,711,1,0,0,0,1,0,0,0,0,0
VMR,161,1,0,0,0,1,0,0,0,0,0
VMC704.2,711,1,0,0,0,0,0,0,0,0,1
VMC605.1,711,1,0,0,0,0,0,0,0,0,1
VMC604.1,711,1,0,0,0,1,0,0,0,0,0
VMC601.2,701,1,100,0,1,0,0,0,0,0,0
VMC504.3,711,1,0,0,0,0,0,0,0,0,1
VMC305.1,701,2,50,0,1,0,0,0,0,0,1
VMC304.6,711,1,0,0,0,1,0,0,0,0,0
VMC304.2,711,1,0,0,0,0,0,0,0,0,1
VMC304.10,711,2,0,0,0,1,0,0,0,0,1
VMC304.1:13-23,701,1,0,0,0,1,0,0,0,0,0
VMC304.1,701,2,0,0,0,0,0,0,0,2,0
VMC302.7,701,1,0,0,0,0,0,0,0,1,0
VMC2012,680,1,100,0,1,0,0,0,0,0,0
VMC105,570,1,0,0,0,1,0,0,0,0,0
VMC.302.7,701,1,0,0,0,1,0,0,0,0,0
VMC:302.7,701,1,100,0,1,0,0,0,0,0,0
VMC 605.1,711,1,0,0,0,0,0,0,0,0,1
VMC 304.7,701,2,50,0,1,0,0,0,0,0,1
VMC 304.6,701,1,0,0,0,1,0,0,0,0,0
VMC 304.2,711,1,0,0,0,1,0,0,0,0,0
VMC 304.15,701,1,0,0,0,1,0,0,0,0,0
VMC 304.12,790,2,0,0,0,2,0,0,0,0,0
VMC 302.7,790,4,0,0,0,4,0,0,0,0,0
VMC 301.3,155,7,0,0,0,4,0,0,0,3,0
VIO5320F6,179,1,0,0,0,1,0,0,0,0,0
VIII6B,99,1,0,0,0,1,0,0,0,0,0
VII6B(I),99,1,0,0,0,1,0,0,0,0,0
VII4A,193,2,0,0,0,2,0,0,0,0,0
VII2A,193,1,0,0,0,1,0,0,0,0,0
VI5A,193,29,20.69,65.52,6,2,19,0,0,0,2
VI59,193,7,0,57.14,0,3,4,0,0,0,0
VI4D,99,1,0,0,0,1,0,0,0,0,0
VI4(B),193,1,0,100,0,0,1,0,0,0,0
VI.5-A,193,1,0,0,0,1,0,0,0,0,0
VI.2.C,59,1,0,0,0,1,0,0,0,0,0
VI-5-A,193,1,0,100,0,0,1,0,0,0,0
VI 5 A,99,1,0,0,0,1,0,0,0,0,0
VFPC906.2,810,1,0,0,0,0,0,0,0,0,1
VFPC904.5,810,1,0,0,0,0,0,0,0,0,1
VFPC609.3.3.2,810,1,0,0,0,0,0,0,0,0,1
VFPC3301.1.3,107,1,0,0,0,1,0,0,0,0,0
VFPC 904.1.1,107,1,0,0,0,1,0,0,0,0,0
VFPC 5603.3,810,1,0,0,0,1,0,0,0,0,0
VCC 116.1,99,1,0,0,0,1,0,0,0,0,0
VCC 108.1,99,1,0,0,0,1,0,0,0,0,0
VB CODE 12-41,810,3,0,0,0,3,0,0,0,0,0
VACLOC2050C,1,1,0,0,0,1,0,0,0,0,0
VACC15-420-40,1,1,0,0,0,1,0,0,0,0,0
VACC,191,1,0,0,0,1,0,0,0,0,0
VAC5-430-30,141,1,0,0,0,1,0,0,0,0,0
VAC304.2(13-23),701,1,100,0,1,0,0,0,0,0,0
VAC2062050,650,1,0,0,0,1,0,0,0,0,0
VAC2062010,1,1,0,0,0,1,0,0,0,0,0
VAC20252120D,650,1,0,0,0,1,0,0,0,0,0
VAC20-950-30,710,1,100,0,1,0,0,0,0,0,0
VAC20-380-60-A,115,1,0,0,0,1,0,0,0,0,0
VAC20-380-60,650,2,50,0,1,1,0,0,0,0,0
VAC20-280-30B,57,1,0,100,0,0,1,0,0,0,0
VAC20-280-30,73,1,100,0,1,0,0,0,0,0,0
VAC20-252-50,810,1,0,0,0,0,0,0,1,0,0
VAC20-252-30,800,1,100,0,1,0,0,0,0,0,0
VAC20-1240-30,131,1,0,0,0,0,0,0,0,0,1
VAC1590231A,103,1,100,0,1,0,0,0,0,0,0
VAC1540283,125,1,0,0,0,1,0,0,0,0,0
VAC1535060,175,1,0,0,0,1,0,0,0,0,0
VAC15260-30,1,3,0,0,0,3,0,0,0,0,0
VAC15-90-231C,173,1,0,0,0,1,0,0,0,0,0
VAC15-90-231B,75,2,0,0,0,2,0,0,0,0,0
VAC15-90-231A,57,1,0,0,0,1,0,0,0,0,0
VAC15-90-231(B),125,1,100,0,1,0,0,0,0,0,0
VAC15-90-231,680,11,0,0,0,11,0,0,0,0,0
VAC15-430-80A,119,1,0,0,0,1,0,0,0,0,0
VAC15-430-40,1,1,0,100,0,0,1,0,0,0,0
VAC15-430-30B,119,1,0,100,0,0,1,0,0,0,0
VAC15-430-30,5,1,0,0,0,1,0,0,0,0,0
VAC15-430-190,119,2,0,0,0,2,0,0,0,0,0
VAC15-403-30C,119,1,0,0,0,1,0,0,0,0,0
VAC15-40-90,173,1,0,0,0,1,0,0,0,0,0
VAC15-40-60(F),5,1,0,0,0,1,0,0,0,0,0
VAC15-40-285,165,2,0,0,0,2,0,0,0,0,0
VAC15-40-280(D),121,2,0,0,0,2,0,0,0,0,0
VAC15-40-280,101,2,0,0,0,2,0,0,0,0,0
VAC15-40-250,143,1,0,0,0,1,0,0,0,0,0
VAC15-40-170,171,1,0,0,0,1,0,0,0,0,0
VAC15-390-40,67,2,0,0,0,2,0,0,0,0,0
VAC15-390-20,177,1,0,0,0,1,0,0,0,0,0
VAC15-390-140,67,4,0,0,0,4,0,0,0,0,0
VAC15-380-50,67,1,0,0,0,1,0,0,0,0,0
VAC15-370(30),89,1,0,0,0,1,0,0,0,0,0
VAC15-370-50,67,5,0,0,0,5,0,0,0,0,0
VAC15-330-80,165,1,0,0,0,1,0,0,0,0,0
VAC15-330-60,195,1,0,0,0,1,0,0,0,0,0
VAC15-32025,195,1,0,0,0,1,0,0,0,0,0
VAC15-320-120,17,1,100,0,1,0,0,0,0,0,0
VAC15-270-10,67,1,0,0,0,1,0,0,0,0,0
VAC15-260-30,57,2,0,0,0,2,0,0,0,0,0
VAC15-240-81B,103,1,0,0,0,1,0,0,0,0,0
VAC15-240-81,63,1,0,0,0,1,0,0,0,0,0
VAC15-20-100,143,3,0,0,0,3,0,0,0,0,0
VAC-20-710,1,1,0,0,0,1,0,0,0,0,0
VAC-15.40.60(F),5,1,0,0,0,1,0,0,0,0,0
VAC-15-90-231 B,165,2,0,0,0,2,0,0,0,0,0
VAC-15-90-231,23,2,0,0,0,2,0,0,0,0,0
VAC-15-430-30,37,1,0,0,0,1,0,0,0,0,0
VAC-15-40-285,75,1,0,0,0,1,0,0,0,0,0
VAC-15-390-140,141,1,0,0,0,1,0,0,0,0,0
VAC-15-370-50,141,1,0,0,0,1,0,0,0,0,0
VAC-15-330-80,171,1,0,0,0,1,0,0,0,0,0
VAC 5-30-276,810,1,0,0,0,1,0,0,0,0,0
VAC 5-30-240,810,1,0,0,0,1,0,0,0,0,0
VAC 15-90-293,35,2,0,0,0,2,0,0,0,0,0
VAC 15-90-231B,73,1,0,0,0,1,0,0,0,0,0
